flight_number,name,date_utc,success,rocket,payloads,launchpad,launch_year,class
1,FalconSat,2006-03-24 22:30:00+00:00,False,5e9d0d95eda69955f709d1eb,['5eb0e4b5b6c3bb0006eeb1e1'],5e9e4502f5090995de566f86,2006,0
2,DemoSat,2007-03-21 01:10:00+00:00,False,5e9d0d95eda69955f709d1eb,['5eb0e4b6b6c3bb0006eeb1e2'],5e9e4502f5090995de566f86,2007,0
3,Trailblazer,2008-08-03 03:34:00+00:00,False,5e9d0d95eda69955f709d1eb,"['5eb0e4b6b6c3bb0006eeb1e3', '5eb0e4b6b6c3bb0006eeb1e4']",5e9e4502f5090995de566f86,2008,0
4,RatSat,2008-09-28 23:15:00+00:00,True,5e9d0d95eda69955f709d1eb,['5eb0e4b7b6c3bb0006eeb1e5'],5e9e4502f5090995de566f86,2008,1
5,RazakSat,2009-07-13 03:35:00+00:00,True,5e9d0d95eda69955f709d1eb,['5eb0e4b7b6c3bb0006eeb1e6'],5e9e4502f5090995de566f86,2009,1
6,Falcon 9 Test Flight,2010-06-04 18:45:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4b7b6c3bb0006eeb1e7'],5e9e4501f509094ba4566f84,2010,1
7,COTS 1,2010-12-08 15:43:00+00:00,True,5e9d0d95eda69973a809d1ec,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']",5e9e4501f509094ba4566f84,2010,1
8,COTS 2,2012-05-22 07:44:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bab6c3bb0006eeb1ea'],5e9e4501f509094ba4566f84,2012,1
9,CRS-1,2012-10-08 00:35:00+00:00,True,5e9d0d95eda69973a809d1ec,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']",5e9e4501f509094ba4566f84,2012,1
10,CRS-2,2013-03-01 19:10:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ed'],5e9e4501f509094ba4566f84,2013,1
11,CASSIOPE,2013-09-29 16:00:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ee'],5e9e4502f509092b78566f87,2013,1
12,SES-8,2013-12-03 22:41:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ef'],5e9e4501f509094ba4566f84,2013,1
13,Thaicom 6,2014-01-06 18:06:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f0'],5e9e4501f509094ba4566f84,2014,1
14,CRS-3,2014-04-18 19:25:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f1'],5e9e4501f509094ba4566f84,2014,1
15,OG-2 Mission 1,2014-07-14 15:15:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f2'],5e9e4501f509094ba4566f84,2014,1
16,AsiaSat 8,2014-08-05 08:00:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f3'],5e9e4501f509094ba4566f84,2014,1
17,AsiaSat 6,2014-09-07 05:00:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f4'],5e9e4501f509094ba4566f84,2014,1
18,CRS-4,2014-09-21 05:52:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f5'],5e9e4501f509094ba4566f84,2014,1
19,CRS-5,2015-01-10 09:47:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f6'],5e9e4501f509094ba4566f84,2015,1
20,DSCOVR,2015-02-11 23:03:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f7'],5e9e4501f509094ba4566f84,2015,1
21,ABS-3A / Eutelsat 115W B,2015-03-02 03:50:00+00:00,True,5e9d0d95eda69973a809d1ec,"['5eb0e4bdb6c3bb0006eeb1f8', '5eb0e4bdb6c3bb0006eeb1f9']",5e9e4501f509094ba4566f84,2015,1
22,CRS-6,2015-04-14 20:10:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1fa'],5e9e4501f509094ba4566f84,2015,1
23,TürkmenÄlem 52°E / MonacoSAT,2015-04-27 23:03:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fb'],5e9e4501f509094ba4566f84,2015,1
24,CRS-7,2015-06-28 14:21:00+00:00,False,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fc'],5e9e4501f509094ba4566f84,2015,0
25,OG-2 Mission 2,2015-12-22 01:29:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fd'],5e9e4501f509094ba4566f84,2015,1
26,Jason 3,2016-01-17 15:42:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fe'],5e9e4502f509092b78566f87,2016,1
27,SES-9,2016-03-04 23:35:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1ff'],5e9e4501f509094ba4566f84,2016,1
28,CRS-8,2016-04-08 20:43:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb200'],5e9e4501f509094ba4566f84,2016,1
29,JCSAT-2B,2016-05-06 05:21:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb201'],5e9e4501f509094ba4566f84,2016,1
30,Thaicom 8,2016-05-27 21:39:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb202'],5e9e4501f509094ba4566f84,2016,1
31,ABS-2A / Eutelsat 117W B,2016-06-15 14:29:00+00:00,True,5e9d0d95eda69973a809d1ec,"['5eb0e4bfb6c3bb0006eeb203', '5eb0e4bfb6c3bb0006eeb204']",5e9e4501f509094ba4566f84,2016,1
32,CRS-9,2016-07-18 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4c0b6c3bb0006eeb205'],5e9e4501f509094ba4566f84,2016,1
33,JCSAT-16,2016-08-14 05:26:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4c1b6c3bb0006eeb206'],5e9e4501f509094ba4566f84,2016,1
34,Amos-6,2016-09-01 13:07:00+00:00,False,5e9d0d95eda69973a809d1ec,['5eb0e4c1b6c3bb0006eeb207'],5e9e4501f509094ba4566f84,2016,0
35,Iridium NEXT Mission 1,2017-01-14 17:54:00+00:00,True,5e9d0d95eda69973a809d1ec,['5eb0e4c2b6c3bb0006eeb208'],5e9e4502f509092b78566f87,2017,1
