flight_number,name,launch_year,success,class,rocket,payloads,launchpad
1,FalconSat,2006,False,0,5e9d0d95eda69955f709d1eb,['5eb0e4b5b6c3bb0006eeb1e1'],5e9e4502f5090995de566f86
2,DemoSat,2007,False,0,5e9d0d95eda69955f709d1eb,['5eb0e4b6b6c3bb0006eeb1e2'],5e9e4502f5090995de566f86
3,Trailblazer,2008,False,0,5e9d0d95eda69955f709d1eb,"['5eb0e4b6b6c3bb0006eeb1e3', '5eb0e4b6b6c3bb0006eeb1e4']",5e9e4502f5090995de566f86
4,RatSat,2008,True,1,5e9d0d95eda69955f709d1eb,['5eb0e4b7b6c3bb0006eeb1e5'],5e9e4502f5090995de566f86
5,RazakSat,2009,True,1,5e9d0d95eda69955f709d1eb,['5eb0e4b7b6c3bb0006eeb1e6'],5e9e4502f5090995de566f86
6,Falcon 9 Test Flight,2010,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4b7b6c3bb0006eeb1e7'],5e9e4501f509094ba4566f84
7,COTS 1,2010,True,1,5e9d0d95eda69973a809d1ec,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']",5e9e4501f509094ba4566f84
8,COTS 2,2012,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bab6c3bb0006eeb1ea'],5e9e4501f509094ba4566f84
9,CRS-1,2012,True,1,5e9d0d95eda69973a809d1ec,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']",5e9e4501f509094ba4566f84
10,CRS-2,2013,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ed'],5e9e4501f509094ba4566f84
11,CASSIOPE,2013,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ee'],5e9e4502f509092b78566f87
12,SES-8,2013,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ef'],5e9e4501f509094ba4566f84
13,Thaicom 6,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f0'],5e9e4501f509094ba4566f84
14,CRS-3,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f1'],5e9e4501f509094ba4566f84
15,OG-2 Mission 1,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f2'],5e9e4501f509094ba4566f84
16,AsiaSat 8,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f3'],5e9e4501f509094ba4566f84
17,AsiaSat 6,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f4'],5e9e4501f509094ba4566f84
18,CRS-4,2014,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f5'],5e9e4501f509094ba4566f84
19,CRS-5,2015,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f6'],5e9e4501f509094ba4566f84
20,DSCOVR,2015,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f7'],5e9e4501f509094ba4566f84
21,ABS-3A / Eutelsat 115W B,2015,True,1,5e9d0d95eda69973a809d1ec,"['5eb0e4bdb6c3bb0006eeb1f8', '5eb0e4bdb6c3bb0006eeb1f9']",5e9e4501f509094ba4566f84
22,CRS-6,2015,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1fa'],5e9e4501f509094ba4566f84
23,TürkmenÄlem 52°E / MonacoSAT,2015,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fb'],5e9e4501f509094ba4566f84
24,CRS-7,2015,False,0,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fc'],5e9e4501f509094ba4566f84
25,OG-2 Mission 2,2015,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fd'],5e9e4501f509094ba4566f84
26,Jason 3,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1fe'],5e9e4502f509092b78566f87
27,SES-9,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4beb6c3bb0006eeb1ff'],5e9e4501f509094ba4566f84
28,CRS-8,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb200'],5e9e4501f509094ba4566f84
29,JCSAT-2B,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb201'],5e9e4501f509094ba4566f84
30,Thaicom 8,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4bfb6c3bb0006eeb202'],5e9e4501f509094ba4566f84
31,ABS-2A / Eutelsat 117W B,2016,True,1,5e9d0d95eda69973a809d1ec,"['5eb0e4bfb6c3bb0006eeb203', '5eb0e4bfb6c3bb0006eeb204']",5e9e4501f509094ba4566f84
32,CRS-9,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c0b6c3bb0006eeb205'],5e9e4501f509094ba4566f84
33,JCSAT-16,2016,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c1b6c3bb0006eeb206'],5e9e4501f509094ba4566f84
34,Amos-6,2016,False,0,5e9d0d95eda69973a809d1ec,['5eb0e4c1b6c3bb0006eeb207'],5e9e4501f509094ba4566f84
35,Iridium NEXT Mission 1,2017,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c2b6c3bb0006eeb208'],5e9e4502f509092b78566f87
36,CRS-10,2017,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c3b6c3bb0006eeb209'],5e9e4502f509094188566f88
37,EchoStar 23,2017,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c3b6c3bb0006eeb20a'],5e9e4502f509094188566f88
38,SES-10,2017,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c3b6c3bb0006eeb20b'],5e9e4502f509094188566f88
39,NROL-76,2017,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4c3b6c3bb0006eeb20c'],5e9e4502f509094188566f88
